Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
1,24.417553,1.774775,117.39898,1,1,2.23372,2.993634,2,0,2.028368,0,0.863158,0.449886,2,3
1,21.618246,1.679306,75.0,1,1,2.0,3.0,2,0,1.957871,0,0.994592,0.117303,2,3
1,23.572647,1.698346,75.0,1,1,2.0,3.0,2,0,2.0,0,0.345684,1.415536,2,3
0,25.748627,1.66877,104.77415,1,1,3.0,3.0,2,0,1.526416,0,0.180158,0.747909,2,3
1,22.429811,1.64037,70.0,0,1,2.0,1.0,3,0,2.069184,0,0.729898,0.0,2,3
1,23.172981,1.858624,88.67551,1,1,2.0,2.77684,2,0,1.278231,0,0.55713,1.0,2,0
1,30.553097,1.780448,88.43195,1,1,2.0,1.178708,2,0,1.791286,0,0.893362,0.276364,2,3
1,30.722801,1.779325,120.751656,1,1,2.519592,3.0,2,0,2.229145,0,0.350717,1.140348,2,0
1,23.360308,1.610647,100.64226,1,1,2.997524,1.154318,2,0,1.238057,0,1.1293,1.665621,3,3
0,26.0,1.640606,111.03688,1,1,3.0,3.0,2,0,2.709428,0,0.0,0.228486,2,3
1,22.27697,1.84995,121.78648,1,1,3.0,2.272214,2,0,1.555534,0,0.348839,0.0,2,3
1,25.523127,1.786532,114.534676,1,1,2.100177,3.0,2,0,2.099687,0,1.281165,0.247332,2,3
1,18.0,1.87,173.0,1,1,3.0,3.0,1,0,2.0,0,2.0,1.0,2,3
1,21.0,1.81,80.0,0,0,1.0,3.0,3,0,2.0,0,2.0,0.0,3,3
0,30.163408,1.533364,78.03038,1,1,2.028225,1.923607,2,0,1.798917,0,0.0,0.0,3,3
1,25.341398,1.786997,115.02536,1,1,1.99953,3.0,2,0,2.111908,0,1.453042,0.849503,2,3
0,22.0,1.73,79.0,1,1,2.0,1.0,2,0,2.0,0,1.0,0.0,2,3
0,16.0,1.57,49.0,0,1,2.0,4.0,0,0,2.0,0,0.0,1.0,2,3
1,31.761799,1.751688,119.20531,1,1,2.14961,3.0,2,0,2.133876,0,0.393452,0.345887,2,0
0,18.0,1.670058,86.242676,1,1,2.609123,3.0,2,0,1.955053,0,1.186013,0.0,3,3
0,17.0,1.6,53.0,0,1,1.0,3.0,2,0,1.0,0,2.0,2.0,2,4
0,20.0,1.61,64.0,1,0,3.0,3.0,0,0,2.0,1,0.0,1.0,1,3
1,17.412628,1.723191,97.350365,1,1,2.0,3.0,2,0,2.0,0,0.0,0.931721,3,3
1,34.576714,1.73325,103.66911,1,1,2.501224,2.049565,2,0,1.0,0,1.746583,0.0,3,0
1,25.047945,1.803207,118.33297,1,1,1.431346,3.0,2,0,2.098959,0,1.110868,0.196952,2,3
0,23.0,1.644161,84.34041,1,1,2.177243,3.0,2,0,2.715572,0,2.230109,0.070897,3,3
0,28.0,1.7,73.0,1,0,2.0,3.0,1,0,2.0,1,2.0,0.0,2,4
1,17.405104,1.82525,58.913578,1,1,2.580872,3.887906,2,0,2.0,0,2.0,0.453649,3,0
0,21.198217,1.743841,78.88036,1,1,2.510583,1.0,2,0,2.0,0,2.119682,0.0,2,3
0,19.774317,1.541039,64.72695,0,1,2.706134,2.669766,2,0,1.979848,1,0.445238,0.908836,2,3
0,27.757187,1.505437,63.89207,1,0,2.0,1.0,2,0,1.278578,0,0.02112,0.0,3,3
0,21.030909,1.71818,133.46677,1,1,3.0,3.0,2,0,1.517215,0,1.486289,0.937492,2,3
0,24.0,1.6,51.0,1,1,1.0,3.0,2,0,2.0,0,0.0,1.0,2,0
0,22.667597,1.718939,75.95147,1,1,2.0,3.0,1,0,2.0,0,0.0,2.0,2,3
0,19.955257,1.5891,72.71361,1,0,3.0,3.856434,2,0,2.0,0,1.32417,1.0,2,3
0,21.478497,1.686936,51.256058,1,1,3.0,3.179995,1,0,1.910378,0,0.480614,0.625079,3,3
0,31.0,1.62,68.0,0,0,3.0,3.0,2,0,2.0,0,1.0,0.0,2,0
0,30.958958,1.633491,68.803696,1,1,2.052152,3.0,2,0,1.972074,0,0.228307,0.0,2,0
0,19.407204,1.520862,42.0,0,1,3.0,1.0,1,0,1.848703,0,0.0,0.744555,2,3
0,21.394047,1.792933,137.83241,1,1,3.0,3.0,2,0,2.682909,0,1.318743,0.900497,2,3
1,36.02397,1.670667,90.575935,1,1,2.903545,1.508685,2,0,2.450069,0,1.45473,0.0,2,0
1,26.0,1.7,70.0,0,1,2.0,3.0,2,1,1.0,0,0.0,0.0,2,3
0,18.535074,1.688025,45.0,0,1,3.0,3.0,2,0,3.0,1,2.539762,1.283673,3,3
1,28.825224,1.765874,82.045044,1,1,1.064162,3.98955,2,0,2.028426,0,0.81517,0.894678,2,3
0,23.03583,1.598612,42.99394,0,0,2.753752,2.812377,1,0,2.346647,0,1.612248,0.0,3,3
1,18.011719,1.680991,79.752914,1,1,2.413156,2.521546,2,0,1.985312,0,0.00705,0.965464,2,3
0,20.781752,1.734092,125.11763,1,1,3.0,3.0,2,0,1.54249,0,0.6277,0.450479,2,3
1,38.112988,1.766888,118.134895,1,1,2.240757,2.911568,2,0,1.895876,0,0.822186,0.0,2,0
0,21.106056,1.722884,92.94926,1,1,1.164062,3.0,2,0,1.157395,0,0.0,0.320851,2,3
1,29.43879,1.770126,108.602715,1,1,3.0,3.0,2,0,1.163264,0,1.866023,1.604608,2,0
1,26.0,1.7,72.0,0,1,2.0,3.0,0,0,2.0,0,0.0,0.0,2,3
0,19.529745,1.751038,133.84303,1,1,3.0,3.0,2,0,2.955075,0,1.46046,0.655558,2,3
0,18.0,1.62,50.0,0,1,3.0,3.0,2,0,1.0,0,0.0,0.0,2,0
0,26.0,1.629727,111.27564,1,1,3.0,3.0,2,0,2.495851,0,0.0,0.218645,2,3
0,25.293201,1.503379,64.34246,1,0,2.0,1.0,2,0,1.639807,0,0.072117,0.0,3,3
0,38.0,1.64,59.8,1,1,2.0,3.0,2,0,2.0,0,2.0,0.0,3,3
0,25.930376,1.608808,102.08396,1,1,3.0,3.0,2,0,1.019684,0,0.026033,1.0,2,3
1,19.703094,1.704141,78.79094,1,0,1.650505,3.0,2,0,2.0,0,1.73234,1.0,2,3
1,21.0,1.62,70.0,0,1,2.0,1.0,3,0,3.0,0,1.0,0.0,2,3
1,26.899885,1.812919,119.841446,1,1,2.347942,3.0,2,0,2.730663,0,0.689371,0.188693,2,3
1,24.0,1.66,67.0,1,1,3.0,1.0,2,0,2.0,0,1.0,0.0,3,3
1,18.128248,1.699437,52.08657,1,1,2.853513,3.0,2,0,2.0,0,0.680464,1.258881,2,3
0,17.0,1.53,55.0,1,1,2.0,3.0,2,0,1.0,0,0.0,1.0,3,3
0,18.0,1.686904,90.00404,1,1,2.737149,3.0,2,0,1.997195,0,1.352663,0.468483,2,3
0,21.0,1.75,88.0,1,1,2.0,3.0,2,0,3.0,0,3.0,0.0,2,3
1,27.0,1.72,88.0,1,1,2.0,1.0,0,0,2.0,0,0.0,0.0,2,0
0,23.71264,1.742901,132.8071,1,1,3.0,3.0,2,0,2.856795,0,1.046463,0.586163,2,3
1,17.469418,1.798645,59.612717,1,1,2.336044,4.0,2,0,2.0,0,2.0,0.133005,3,0
1,17.0,1.74,56.0,1,1,2.0,3.0,2,0,2.0,0,2.0,1.0,3,3
0,23.0,1.6,83.0,1,1,3.0,3.0,1,0,3.0,0,3.0,0.0,3,3
0,23.0,1.75,56.0,0,0,3.0,3.0,1,0,2.0,0,2.0,0.0,2,3
0,39.0,1.65,50.0,0,1,3.0,4.0,1,0,2.0,0,0.0,0.0,2,3
1,30.520855,1.784049,120.64418,1,1,2.499108,3.0,2,0,2.040952,0,0.838739,0.489854,2,0
0,28.977793,1.7,78.0,1,1,3.0,3.0,2,0,1.507638,0,1.82434,1.0,1,0
0,35.43206,1.663178,80.13517,1,1,2.0,3.0,2,0,1.992548,0,0.039207,1.528714,3,0
1,25.659092,1.84842,117.63171,1,1,2.128574,3.0,2,0,2.531984,0,1.003294,0.026575,2,3
1,30.62865,1.766975,118.36337,1,1,2.964319,3.0,2,0,2.377257,0,0.614959,1.875023,2,0
0,25.895546,1.626179,110.07402,1,1,3.0,3.0,2,0,1.967707,0,0.01437,0.434073,2,3
1,23.32471,1.769484,96.07846,1,1,2.0,3.0,2,0,3.0,0,3.0,2.0,3,3
1,20.654753,1.780791,102.92122,1,1,2.0,3.0,2,0,1.613829,0,1.251665,0.0,2,3
0,25.311535,1.685482,113.451225,1,1,3.0,3.0,2,0,2.987718,0,0.387074,0.283804,2,3
0,18.532825,1.75091,142.54518,1,1,3.0,3.0,2,0,2.372058,0,1.324805,0.870795,2,3
1,23.0,1.701584,75.09357,1,1,3.0,3.205009,2,0,2.643468,0,0.998039,1.898139,2,3
1,31.74382,1.67782,102.02206,1,1,2.826036,2.371658,2,0,1.0,0,1.996487,0.0,3,3
0,25.950897,1.649867,104.79104,1,1,3.0,3.0,2,0,2.535629,0,0.152713,0.7702,2,3
1,21.0,1.612556,69.463455,0,1,2.0,1.259628,3,0,3.0,0,1.0,0.0,2,3
0,38.952866,1.568441,62.855072,1,1,2.002796,3.0,2,0,2.526775,0,0.271174,0.806069,2,0
0,25.989939,1.644199,105.03607,1,1,3.0,3.0,2,0,2.310076,0,0.07115,0.733085,2,3
0,33.69024,1.681842,77.42647,1,1,3.0,2.679724,2,0,1.999737,0,1.747347,0.681773,3,0
1,34.970367,1.713348,84.72222,1,1,2.884212,3.0,2,0,3.0,0,2.0,0.8324,3,0
1,23.454557,1.754218,117.38474,1,1,1.617093,3.0,2,0,2.0,0,1.818052,0.631825,2,3
1,21.403421,1.716308,80.0,1,1,2.0,3.0,2,0,2.0,0,2.936551,1.40913,3,3
1,18.0,1.753349,51.457226,0,1,2.823179,3.0,2,0,1.773236,0,1.252472,1.0,2,3
0,26.0,1.641918,111.86899,1,1,3.0,3.0,2,0,2.635454,0,0.0,0.088309,2,3
1,26.699318,1.839941,119.95665,1,1,2.244654,3.0,2,0,2.795752,0,0.839481,0.0,2,3
1,24.0,1.7,68.0,0,1,3.0,3.0,2,0,2.0,0,0.0,0.0,2,2
0,20.534607,1.758372,79.46951,1,1,2.8557,1.0,2,0,2.663861,0,2.762711,0.783336,2,3
1,21.20563,1.704573,80.0,1,1,2.0,3.0,2,0,2.0,0,2.847761,1.413375,3,3
0,20.978167,1.721057,132.0548,1,1,3.0,3.0,2,0,1.678791,0,1.68249,0.818871,2,3
0,22.865019,1.632118,82.0,1,1,2.587789,1.482103,2,0,1.911664,0,0.0,0.128681,2,3
1,19.81695,1.806947,85.07959,1,1,2.0,3.0,2,0,2.292073,0,1.067817,0.19668,2,3
0,37.0636,1.502609,75.2796,1,1,2.0,3.0,2,0,1.759803,0,0.0,0.0,2,0
0,18.29723,1.637396,70.0,1,1,2.0,1.999014,2,0,2.326165,0,0.00705,0.0,3,3
1,24.28486,1.776347,82.32905,1,1,1.989905,3.054899,2,0,2.080968,0,1.107543,0.939726,3,3
1,38.825188,1.780846,85.68775,1,1,2.901924,1.124977,2,0,2.76382,0,0.8554,0.999183,2,0
0,25.0,1.56,45.0,0,1,2.0,3.0,2,0,1.0,0,0.0,0.0,2,3
0,21.78535,1.675054,49.945232,1,1,2.929889,3.0,1,0,2.792074,0,0.630944,1.366355,3,3
0,21.455463,1.611,68.107864,1,1,1.977298,3.554974,3,0,2.217957,0,0.97812,0.459759,2,3
1,21.997335,1.65,80.0,1,1,2.0,3.0,2,0,2.0,0,0.527341,2.0,3,3
1,17.0,1.844749,59.313526,1,1,2.432886,3.0,2,0,2.0,0,2.697949,1.0,3,0
1,25.95383,1.65731,90.0,1,1,2.0,3.0,2,0,3.0,0,0.413643,0.920858,2,0
1,23.0,1.65,66.0,0,0,3.0,3.0,2,0,2.0,0,3.0,0.0,3,3
1,21.0,1.85,125.0,1,1,3.0,1.0,0,0,1.0,0,0.0,0.0,2,3
1,28.82528,1.815347,120.39976,1,1,2.9673,3.0,2,0,2.530035,0,1.045107,0.947866,2,0
1,21.0,1.7,65.0,1,1,2.0,3.0,1,0,1.0,0,1.0,1.0,3,3
1,31.783846,1.75,120.0,1,1,2.941627,3.0,2,0,2.318134,0,0.582686,1.588046,2,0
0,18.0,1.622241,68.25025,1,1,2.0,1.010319,2,0,1.319437,0,0.0,1.626456,3,3
0,20.492077,1.529223,65.14041,1,0,2.003951,3.0,2,0,1.207978,0,1.916751,1.228995,3,3
1,25.0,1.87,66.0,0,1,3.0,3.0,0,0,2.0,0,2.0,0.0,1,3
1,22.052153,1.792527,89.994415,1,1,1.771693,1.890213,2,0,2.0,0,0.0,1.36595,2,3
1,23.0,1.8,77.0,1,0,2.0,3.0,2,0,2.0,0,2.0,1.0,1,3
0,19.504696,1.590317,42.367615,0,0,2.959658,3.0,1,0,1.0,0,1.522399,0.0,2,3
0,24.469755,1.663341,113.07719,1,1,3.0,3.0,2,0,2.632224,0,0.300964,0.26956,2,3
0,19.0,1.53,42.0,0,0,2.0,3.0,2,0,1.0,1,2.0,0.0,1,3
1,21.0,1.62,70.0,0,1,2.0,1.0,3,0,3.0,0,1.0,0.0,2,3
1,18.0,1.7,50.0,0,1,1.0,3.0,1,0,1.0,0,2.0,1.0,2,3
0,36.0,1.58,60.0,1,0,3.0,3.0,2,0,1.0,0,2.0,0.0,2,0
0,20.323767,1.774207,138.14316,1,1,3.0,3.0,2,0,2.816052,0,1.571865,0.688058,2,3
0,19.0,1.6,60.0,0,1,2.0,3.0,1,0,2.0,0,0.0,1.0,2,3
0,19.0,1.5,50.0,0,1,2.0,3.0,1,0,1.0,0,0.0,2.0,2,3
0,21.0,1.54,49.0,1,0,2.0,1.0,2,0,2.0,1,2.0,0.0,2,3
0,22.32904,1.598393,44.918255,0,0,2.886157,2.326233,1,0,2.306821,0,1.42237,0.0,3,3
1,25.512049,1.660761,104.321465,1,1,2.748971,1.213431,2,0,1.448875,0,0.128548,1.239038,3,3
0,25.999636,1.610126,102.686905,1,1,3.0,3.0,2,0,1.020313,0,0.108386,1.0,2,3
1,19.865894,1.76033,55.3707,1,1,2.120185,4.0,2,0,2.582165,0,2.0,1.510609,3,0
1,14.0,1.71,72.0,1,1,3.0,3.0,2,0,3.0,0,2.0,1.0,3,4
1,25.0,1.71,71.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0.0,2,2
1,27.349745,1.835271,97.58826,1,1,2.923433,1.338033,2,0,1.944095,0,1.931829,1.0,2,3
0,20.0,1.65,75.0,1,1,3.0,1.0,2,0,2.0,0,1.0,1.0,3,3
1,33.0,1.75,85.0,0,0,2.0,3.0,2,0,2.0,1,1.0,0.0,2,3
1,22.829754,1.765137,116.66991,1,1,1.482722,3.0,2,0,2.0,0,1.112504,0.690353,2,3
0,22.307413,1.605495,82.52857,1,1,2.049112,2.622055,2,0,2.280555,0,2.052896,0.896185,3,3
1,17.0,1.79,57.0,1,1,2.0,4.0,1,0,2.0,0,2.0,1.0,3,3
0,21.238417,1.763847,133.93787,1,1,3.0,3.0,2,0,2.836791,0,1.46782,0.890527,2,3
1,19.084316,1.851123,61.264786,1,1,3.0,3.994588,2,0,2.548527,0,1.285976,0.267076,2,0
0,19.0,1.61,53.8,1,1,2.0,3.0,0,0,2.0,0,2.0,1.0,2,3
0,18.634287,1.669354,126.0883,1,1,3.0,3.0,2,0,1.144539,0,0.922014,0.899673,2,3
1,18.0,1.845399,60.0,1,1,3.0,4.0,2,0,2.0,0,2.0,0.0,3,0
1,20.31094,1.849425,85.22812,1,1,2.146598,3.0,2,0,2.100112,0,1.17116,0.833761,2,3
0,25.524336,1.668931,104.76832,1,1,3.0,3.0,2,0,1.436616,0,0.167086,0.764717,2,3
1,26.0,1.745033,80.0,1,1,2.217267,1.193589,2,0,2.0,0,2.0,0.0,2,3
0,22.524036,1.752206,133.68935,1,1,3.0,3.0,2,0,2.054193,0,1.414209,0.646288,2,3
1,24.000307,1.607939,100.61824,1,1,2.877743,1.311797,2,0,1.000463,0,0.182249,1.4312,3,3
0,20.147114,1.528011,42.0,0,1,3.0,1.0,1,0,1.322669,0,0.0,0.478676,2,3
0,21.334585,1.729045,131.52927,1,1,3.0,3.0,2,0,1.302193,0,1.742453,0.94232,2,3
1,29.216019,1.752265,88.09606,1,1,2.0,1.894384,2,0,2.0,0,0.0,0.0,2,3
0,22.0,1.68,52.0,0,1,3.0,3.0,1,0,2.0,0,0.0,1.0,3,3
1,22.0,1.72,82.0,0,1,2.0,1.0,2,0,2.0,0,2.0,1.0,2,3
0,18.177881,1.821566,142.10246,1,1,3.0,3.0,2,0,2.714949,0,1.999773,0.813784,2,3
0,17.823439,1.708406,50.0,0,1,1.642241,3.45259,2,0,1.099231,0,0.418875,1.0,2,3
1,25.0,1.78,98.0,1,0,2.0,3.0,2,0,3.0,0,3.0,2.0,3,3
0,18.233541,1.792378,137.85974,1,1,3.0,3.0,2,0,2.838893,0,1.990317,0.735868,2,3
0,40.0,1.55,62.0,1,0,3.0,3.0,2,0,3.0,0,0.0,0.0,2,0
0,22.997168,1.655742,82.46376,1,1,2.73691,1.478334,2,0,2.677409,0,0.065264,0.40699,2,3
1,18.0,1.7,60.0,0,1,2.0,3.0,2,0,2.0,0,2.0,1.0,3,3
0,20.97143,1.549311,41.55747,0,1,2.927218,1.0,1,0,1.0,0,0.0,0.276592,2,3
1,25.140074,1.829529,120.99658,1,1,3.0,3.0,2,0,3.0,0,1.467863,0.343635,2,3
0,26.0,1.631332,111.829956,1,1,3.0,3.0,2,0,2.55975,0,0.0,0.237307,2,3
0,19.911245,1.530248,68.85097,1,0,2.258795,3.53009,2,0,1.172186,0,0.678943,1.0,3,3
1,17.0,1.62,69.0,1,1,3.0,1.0,0,0,2.0,1,1.0,2.0,2,3
0,21.0,1.72,66.5,1,1,3.0,4.0,0,0,3.0,0,0.0,2.0,3,3
1,18.274359,1.824655,58.62135,1,1,2.14084,4.0,2,0,2.931438,0,2.0,1.164457,3,0
0,26.0,1.624576,110.803116,1,1,3.0,3.0,2,0,2.704827,0,0.0,0.269577,2,3
1,18.068768,1.787787,52.0,1,1,3.0,3.0,2,0,2.0,0,0.854337,1.0,2,3
0,21.979769,1.6,66.12696,1,1,2.213135,3.0,2,0,2.046766,0,2.172546,0.0,2,3
0,23.50125,1.6,45.0,0,0,2.591439,3.0,1,0,2.074048,0,1.679935,0.0,3,3
0,24.023972,1.599697,64.80802,0,1,2.903545,3.0,2,0,1.549931,0,0.0,0.273882,2,3
0,18.0,1.45,53.0,0,1,2.0,3.0,1,0,2.0,1,1.0,2.0,1,3
1,27.991467,1.82559,120.86039,1,1,3.0,3.0,2,0,3.0,0,0.691369,1.415536,2,3
0,25.982113,1.627818,105.42863,1,1,3.0,3.0,2,0,1.48075,0,0.098043,0.663492,2,3
0,26.0,1.65632,111.93301,1,1,3.0,3.0,2,0,2.774014,0,0.0,0.138418,2,3
1,18.0,1.750097,86.37214,1,1,2.907062,3.0,2,0,2.740848,0,1.219827,0.037634,2,3
0,22.0,1.7,66.0,1,0,3.0,3.0,0,0,2.0,1,2.0,1.0,2,3
1,23.451595,1.670227,75.0,1,1,2.0,3.0,2,0,2.0,0,0.129163,1.983678,2,3
1,55.24625,1.769269,80.49134,0,1,2.0,3.0,2,0,2.0,0,1.0,0.0,3,0
1,30.976933,1.755333,118.237785,1,1,2.938616,3.0,2,0,2.06039,0,0.371508,1.333559,2,0
0,18.367481,1.745644,133.66559,1,1,3.0,3.0,2,0,2.900857,0,1.508897,0.625371,2,3
0,19.300434,1.739354,49.649612,0,1,3.0,3.754599,2,0,1.692112,0,2.0,1.0,2,3
0,43.37634,1.582523,81.91946,1,1,2.76632,1.317884,2,0,1.889341,0,0.990642,0.0,3,0
0,20.80179,1.721476,131.04227,1,1,3.0,3.0,2,0,1.837184,0,1.525165,0.926443,2,3
0,18.0,1.6,51.0,1,1,2.0,3.0,1,0,1.0,0,1.0,1.0,2,3
0,25.289429,1.686033,104.77216,1,1,3.0,3.0,2,0,1.299194,0,0.234303,0.946888,2,3
0,23.0,1.66,60.0,1,1,2.0,1.0,2,0,1.0,0,1.0,1.0,2,3
1,23.237303,1.761008,97.829346,1,1,2.0,3.0,2,0,2.988771,0,2.429923,1.978043,3,3
1,25.057878,1.763987,113.069664,1,1,1.412566,3.0,2,0,2.002495,0,1.592795,0.001867,2,3
1,22.1771,1.741353,96.738014,1,1,2.0,3.0,2,0,2.697661,0,2.614909,1.229474,3,3
1,22.927011,1.751046,95.2859,1,1,2.0,3.0,2,0,2.530301,0,2.89118,1.287117,3,3
0,26.0,1.639524,111.94559,1,1,3.0,3.0,2,0,2.739351,0,0.0,0.064769,2,3
1,19.556728,1.767563,56.30702,1,1,2.362918,4.0,2,0,2.358172,0,2.0,0.939819,3,0
0,23.469538,1.507106,64.81411,1,0,2.252472,3.986652,2,0,2.0,0,0.934286,0.890626,3,3
0,26.0,1.618573,104.92864,1,1,3.0,3.0,2,0,1.698767,0,0.0,0.54396,2,3
1,23.432226,1.754996,119.087555,1,1,1.631144,3.0,2,0,2.0,0,1.593183,0.86374,2,3
1,22.336216,1.785718,105.05569,1,1,2.253707,3.0,2,0,2.524432,0,0.58216,0.175694,2,3
1,18.729567,1.855433,112.87528,1,1,2.0,2.427137,2,0,2.574073,0,1.0,2.0,2,3
0,22.422674,1.70011,50.173424,1,1,2.674431,3.0,1,0,2.453384,0,1.321624,1.990617,3,3
1,21.0,1.66,62.0,1,1,2.0,3.0,2,1,2.0,0,1.0,1.0,1,3
0,17.807829,1.518067,55.82212,0,1,1.773265,2.118153,2,0,1.075239,1,0.085388,1.915191,2,3
0,25.0,1.61,61.0,0,0,2.0,3.0,2,0,1.0,0,2.0,1.0,2,3
1,24.362123,1.716677,85.26134,1,1,2.0,2.676148,2,0,2.083939,0,0.632164,0.993786,2,3
1,22.0,1.7,66.4,1,0,2.0,3.0,1,0,2.0,0,0.0,0.0,3,3
1,21.963787,1.849601,122.33343,1,1,3.0,2.218285,2,0,1.340117,0,0.428259,0.0,2,3
1,27.931433,1.805445,119.48461,1,1,2.911312,3.0,2,0,2.501808,0,0.94676,0.785701,2,0
1,23.0,1.77433,90.0,1,1,2.116432,3.0,2,0,1.002292,0,0.0,1.066708,2,3
1,22.0,1.88,90.0,1,1,2.0,3.0,0,0,1.0,0,0.0,1.0,2,0
0,26.0,1.633442,111.821815,1,1,3.0,3.0,2,0,2.550672,0,0.0,0.224655,2,3
1,20.0,1.56,45.0,0,0,2.0,3.0,2,0,2.0,0,1.0,1.0,2,3
0,25.722004,1.62847,107.21895,1,1,3.0,3.0,2,0,2.48707,0,0.067329,0.455823,2,3
0,22.77789,1.661415,120.748215,1,1,3.0,3.0,2,0,1.91039,0,0.217455,0.77582,2,3
1,21.0,1.714253,75.0,1,1,2.0,3.0,2,0,1.081597,0,1.0,0.0,2,3
1,18.381382,1.722547,53.783978,1,1,2.0,3.131032,2,0,2.072194,0,1.487987,2.0,2,3
1,21.793724,1.75463,89.06823,1,1,2.0,2.041558,2,0,2.38725,0,0.813917,0.0,2,3
0,25.795187,1.669039,104.593925,1,1,3.0,3.0,2,0,1.554925,0,0.209586,0.823069,2,3
1,31.783524,1.672959,90.0,1,1,2.949242,1.782109,2,0,2.210997,0,1.992719,0.0,2,0
0,26.0,1.622418,110.676346,1,1,3.0,3.0,2,0,2.691584,0,0.0,0.425473,2,3
1,18.0,1.844218,109.195526,1,1,2.0,1.548407,2,0,2.191401,0,1.0,1.676944,3,3
0,22.884722,1.622787,82.0,1,1,1.754401,1.0,2,0,2.0,0,0.0,0.301909,3,3
0,24.0,1.65,60.0,1,0,2.0,3.0,2,0,3.0,1,1.0,0.0,3,3
0,18.845518,1.753471,80.0,1,1,2.0,1.391778,2,0,2.64548,0,2.685087,0.97554,3,3
0,18.063581,1.633675,82.45958,1,1,2.921576,3.0,2,0,1.003636,0,1.000227,0.905596,3,3
0,22.875223,1.624367,82.0,1,1,1.826885,1.0,2,0,2.0,0,0.0,0.459274,3,3
0,21.845024,1.613668,68.12695,1,1,1.758394,3.981997,2,0,2.174248,0,0.920476,1.358163,2,3
1,18.0,1.74,64.0,1,1,3.0,4.0,2,0,1.0,1,2.0,0.0,2,3
0,25.91957,1.610488,102.17495,1,1,3.0,3.0,2,0,1.032834,0,0.04525,0.922749,2,3
